Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,100n,
"C10, C9",C_Rect_L7.0mm_W2.5mm_P5.00mm,2,56nf,
C11,CP_Radial_D4.0mm_P2.00mm,1,33uf,
C12,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,100nf,
C2,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,10n,
"C4, C5",CP_Radial_D4.0mm_P2.00mm,2,10uf,
C6,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,33nf,
"C7, C8",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,100nf,
"D1, D11, D12, D2, D4, D5, D6, D7",DO-35_SOD27_P5.08mm_Horizontal,8,1N4148,
D10,LED_D5.0mm_Horizontal,1,LED White,
"D8, D9",DO-41_SOD81_P7.62mm_Horizontal(1n4007),2,1N4007,
J3,IDC-Header_2x05,1,Eurorack_power,
J5,PinHeader_1x10,1,Conn_Left,
J6,PinHeader_1x10,1,Conn_Right,
"Q1, Q2, Q4, Q6, Q7, Q8",TO-92L_Inline_Wide,6,2N3904,
"Q3, Q5",TO-92L_Inline_Wide,2,2N3906,
"R1, R14, R19, R28, R3, R35, R38, R4, R5",Resistor_D2.5mm_P7.62mm,9,100k,
"R10, R2, R29, R7",Resistor_D2.5mm_P7.62mm,4,10k,
"R11, R32, R36, R37",Resistor_D2.5mm_P7.62mm,4,1k,
"R12, R17, R21, R23",Resistor_D2.5mm_P7.62mm,4,1M,
"R13, R16, R22, R8, R9",Resistor_D2.5mm_P7.62mm,5,4.7k,
R15,Resistor_D2.5mm_P7.62mm,1,2.2k,
"R18, R30, R6",Resistor_D2.5mm_P7.62mm,3,20k,
R20,Resistor_D2.5mm_P7.62mm,1,6.8,
R24,Resistor_D2.5mm_P7.62mm,1,51k,
"R25, R26",Resistor_D2.5mm_P7.62mm,2,470k,
"R27, R33",Resistor_D2.5mm_P7.62mm,2,47k,
R31,LDR_D5.0mm,1,5537,
R34,Resistor_D2.5mm_P7.62mm,1,100,
"TP1, TP3, TP4, TP5, TP6",TestPoint_Round,5,TestPoint,
TP2,TestPoint_square,1,TestPoint,
U1,DIP-14_W7.62mm_Socket_LongPads,1,TL074,
